polica_sifra,polica_naziv,tip
C38,Magacin,SHELF
C38,Magacin,SHELF
C39,Magacin,SHELF
C39,Magacin,SHELF
C4,Magacin,SHELF
C4,Proizvodnja,SHELF
C4,Magacin,SHELF
C4,Proizvodnja,SHELF
C40,Magacin,SHELF
C40,Magacin,SHELF
C41,Magacin,SHELF
C41,Magacin,SHELF
C42,Magacin,SHELF
C42,Magacin,SHELF
C43,Magacin,SHELF
C43,Magacin,SHELF
C44,Magacin,SHELF
C44,Magacin,SHELF
C45,Magacin,SHELF
C45,Magacin,SHELF
C46,Magacin,SHELF
C46,Magacin,SHELF
C47,Magacin,SHELF
C47,Magacin,SHELF
C48,Magacin,SHELF
C48,Magacin,SHELF
C49,Magacin,SHELF
C49,Magacin,SHELF
C5,Magacin,SHELF
C5,Magacin,SHELF
C5,Proizvodnja,SHELF
C5,Proizvodnja,SHELF
C50,Magacin,SHELF
C50,Magacin,SHELF
C51,Magacin,SHELF
C52,Magacin,SHELF
C53,Magacin,SHELF
C54,Magacin,SHELF
C55,Magacin,SHELF
C56,Magacin,SHELF
C57,Magacin,SHELF
C58,Magacin,SHELF
C59,Magacin,SHELF
C6,Magacin,SHELF
C6,Proizvodnja,SHELF
C6,Magacin,SHELF
C60,Magacin,SHELF
C61,Magacin,SHELF
C62,Magacin,SHELF
C63,Magacin,SHELF
C64,Magacin,SHELF
C65,Magacin,SHELF
C66,Magacin,SHELF
C67,Magacin,SHELF
C68,Magacin,SHELF
C69,Magacin,SHELF
C7,Magacin,SHELF
C7,Magacin,SHELF
C7,Proizvodnja,SHELF
C70,Magacin,SHELF
C71,Magacin,SHELF
C72,Magacin,SHELF
C73,Magacin,SHELF
C74,Magacin,SHELF
C75,Magacin,SHELF
C76,Magacin,SHELF
C77,Magacin,SHELF
C78,Magacin,SHELF
C79,Magacin,SHELF
C8,Magacin,SHELF
C8,Proizvodnja,SHELF
C8,Magacin,SHELF
C80,Magacin,SHELF
C9,Magacin,SHELF
C9,Proizvodnja,SHELF
C9,Magacin,SHELF
D1,Magacin,SHELF
D1,Proizvodnja,SHELF
D1,Proizvodnja,SHELF
D1,Magacin,SHELF
D10,Proizvodnja,SHELF
D10,Magacin,SHELF
D10,Magacin,SHELF
D11,Magacin,SHELF
D11,Magacin,SHELF
D11,Proizvodnja,SHELF
D12,Magacin,SHELF
D12,Magacin,SHELF
D12,Proizvodnja,SHELF
D13,Magacin,SHELF
D13,Magacin,SHELF
D13,Proizvodnja,SHELF
D14,Magacin,SHELF
D14,Magacin,SHELF
D14,Proizvodnja,SHELF
D15,Proizvodnja,SHELF
D15,Magacin,SHELF
D15,Magacin,SHELF
D16,Magacin,SHELF
D16,Proizvodnja,SHELF
D16,Magacin,SHELF
D17,Magacin,SHELF
D17,Magacin,SHELF
D17,Proizvodnja,SHELF
D18,Magacin,SHELF
D18,Magacin,SHELF
D18,Proizvodnja,SHELF
D19,Magacin,SHELF
D19,Magacin,SHELF
D19,Proizvodnja,SHELF
D2,Proizvodnja,SHELF
D2,Magacin,SHELF
D2,Magacin,SHELF
D2,Proizvodnja,SHELF
D20,Magacin,SHELF
D20,Magacin,SHELF
D20,Proizvodnja,SHELF
D21,Magacin,SHELF
D21,Proizvodnja,SHELF
D21,Magacin,SHELF
D22,Proizvodnja,SHELF
D22,Magacin,SHELF
D22,Magacin,SHELF
D23,Magacin,SHELF
D23,Magacin,SHELF
